Variable,Definition
label,"Flag indicating whether the user paid back the credit amount within 5 days of issuing the loan{1:success, O:failure!"
msisan,mobile number of user
aon,age on cellular network in days
daily decr30,"Daily amount spent from main account, averaged over last 30 days (in Indonesian Rupiah)"
daily_decr90,"Daily amount spent from main account, averaged over last 90 days (in Indonesian Rupiah)"
rental30,Average main account balance over last 30 days
rental90,Average main account balance over last 90 days
last rech date ma,Number of days till last recharge of main account
last rech date da,Number of days till last recharge of data account
last rech amt ma,Amount of last recharge of main account (in Indonesian Rupiah)
cnt ma rech30,Number of times main account got recharged in last 30 days
fr ma rech30,Frequency of main account recharged in last 30 days
sumamnt ma rech30,Total amount of recharge in main account over last 30 days (in Indonesian Rupiah)
medianamnt _ma rech30,Median of amount of recharges done in main account over last 30 days at user level (in Indonesian Rupiah)
medianmarechprebal30,Median of main account balance just before recharge in last 30 days at user level (in Indonesian Rupiah)
cnt ma rech90,Number of times main account got recharged in last 90 days
fr ma rech90,Frequency of main account recharged in last 90 days
sumamnt ma rech9o,Total amount of recharge in main account over last 90 days (in Indonesian Rupiah)
medianamnt ma rech90,Median of amount of recharges done in main account over last 90 days at user level (in Indonesian Rupiah)
medianmarechprebal90,Median of main account balance just before recharge in last 90 days at user level (in Indonesian Rupiah)
ent da rech30,Number of times data account got recharged in last 30 days
fr da rech30,Frequency of data account recharged in last 30 days
cnt da rech90,Number of times data account got recharged in last 90 days
fr da rech90,Frequency of data account recharged in last 90 days
ent loans30,Number of loans taken by user in last 30 days
amnt loans30,Total amount of loans taken by user in last 30 days
maxamnt loans30,maximum amount of loan taken by the user in last 30 days
medianamnt loans30,Median of amounts of loan taken by the user in last 30 days
cnt loans90,Number of loans taken by user in last 90 days
amt loans90,Total amount of loans taken by user in last 90 days
maxamnt loans90,maximum amount of loan taken by the user in last 90 days
medianamnt loans90,Median of amounts of loan taken by the user in last 90 days
payback30,Average payback time in days over last 30 days
payback90,Average payback time in days over last 90 days
pcircle,telecom circle
pdate,payment date
